#options: 1280x720 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=22.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:28.03 aq:23.83 tex:578696 mv:149185 misc:191 imb:3600 pmb:0 smb:0 d:- ref:;
in:108 out:108 type:P dur:2 cpbdur:2 q:28.03 aq:27.02 tex:594776 mv:27530 misc:1278 imb:453 pmb:2863 smb:284 d:s ref:0 w:7,127,1,7,126,2,121,7 ;
in:110 out:109 type:P dur:2 cpbdur:2 q:28.03 aq:26.73 tex:796714 mv:32131 misc:467 imb:831 pmb:2753 smb:16 d:s ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:28.03 aq:29.66 tex:292509 mv:31680 misc:2003 imb:183 pmb:2842 smb:575 d:s ref:0 ;
in:112 out:111 type:P dur:2 cpbdur:2 q:28.03 aq:26.60 tex:784394 mv:29295 misc:663 imb:700 pmb:2825 smb:75 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:28.03 aq:30.45 tex:285046 mv:30427 misc:2183 imb:114 pmb:2807 smb:679 d:s ref:0 ;
in:115 out:113 type:P dur:2 cpbdur:2 q:28.03 aq:26.46 tex:914516 mv:30392 misc:428 imb:843 pmb:2733 smb:24 d:s ref:0 ;
in:113 out:114 type:B dur:2 cpbdur:2 q:28.03 aq:29.62 tex:282232 mv:30253 misc:2339 imb:145 pmb:2707 smb:748 d:s ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:28.03 aq:30.67 tex:219378 mv:25627 misc:2731 imb:100 pmb:2552 smb:948 d:- ref:0 ;
in:117 out:116 type:P dur:2 cpbdur:2 q:28.03 aq:26.72 tex:750918 mv:23995 misc:1055 imb:469 pmb:2918 smb:213 d:s ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:28.03 aq:30.85 tex:188508 mv:22026 misc:2898 imb:67 pmb:2435 smb:1098 d:s ref:0 ;
in:120 out:118 type:P dur:2 cpbdur:2 q:28.03 aq:26.42 tex:903214 mv:27024 misc:618 imb:709 pmb:2837 smb:54 d:s ref:0 ;
in:118 out:119 type:B dur:2 cpbdur:2 q:28.03 aq:29.58 tex:272371 mv:25103 misc:2398 imb:115 pmb:2663 smb:822 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:28.03 aq:30.57 tex:189579 mv:22051 misc:2938 imb:86 pmb:2492 smb:1022 d:- ref:0 ;
in:123 out:121 type:P dur:2 cpbdur:2 q:28.03 aq:26.63 tex:818807 mv:24329 misc:928 imb:662 pmb:2766 smb:172 d:s ref:0 w:7,127,0 ;
in:121 out:122 type:B dur:2 cpbdur:2 q:28.03 aq:29.92 tex:280569 mv:26785 misc:2414 imb:119 pmb:2619 smb:862 d:s ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:28.03 aq:30.71 tex:191049 mv:23871 misc:2832 imb:83 pmb:2466 smb:1051 d:- ref:0 ;
in:128 out:124 type:P dur:2 cpbdur:2 q:28.03 aq:26.29 tex:918648 mv:30024 misc:472 imb:1099 pmb:2479 smb:22 d:s ref:0 ;
in:125 out:125 type:B dur:2 cpbdur:2 q:28.03 aq:28.11 tex:478253 mv:36240 misc:1539 imb:343 pmb:2945 smb:312 d:s ref:0 ;
in:124 out:126 type:b dur:2 cpbdur:2 q:28.03 aq:30.16 tex:165771 mv:22751 misc:3022 imb:115 pmb:2404 smb:1081 d:s ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:28.03 aq:30.04 tex:431058 mv:27205 misc:1977 imb:170 pmb:2858 smb:572 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:28.03 aq:30.30 tex:300176 mv:28830 misc:2290 imb:187 pmb:2722 smb:691 d:- ref:0 ;
in:131 out:129 type:P dur:2 cpbdur:2 q:28.03 aq:26.37 tex:804114 mv:27317 misc:849 imb:727 pmb:2741 smb:132 d:s ref:0 ;
in:129 out:130 type:B dur:2 cpbdur:2 q:28.03 aq:29.93 tex:217385 mv:25154 misc:2733 imb:107 pmb:2444 smb:1049 d:s ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:28.03 aq:30.19 tex:194143 mv:24406 misc:2763 imb:68 pmb:2615 smb:917 d:- ref:0 ;
in:135 out:132 type:P dur:2 cpbdur:2 q:28.03 aq:26.66 tex:947629 mv:27601 misc:666 imb:895 pmb:2666 smb:39 d:s ref:0 w:7,125,1,7,123,4,116,12 ;
in:133 out:133 type:B dur:2 cpbdur:2 q:28.03 aq:28.61 tex:356984 mv:30653 misc:2083 imb:206 pmb:2885 smb:509 d:s ref:0 ;
in:132 out:134 type:b dur:2 cpbdur:2 q:28.03 aq:30.31 tex:196935 mv:24397 misc:2828 imb:70 pmb:2498 smb:1032 d:s ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:28.03 aq:30.72 tex:157771 mv:20106 misc:3035 imb:60 pmb:2132 smb:1408 d:- ref:0 ;
in:139 out:136 type:P dur:2 cpbdur:2 q:28.03 aq:26.56 tex:812146 mv:27512 misc:694 imb:1014 pmb:2514 smb:72 d:s ref:0 ;
in:137 out:137 type:B dur:2 cpbdur:2 q:28.03 aq:28.71 tex:375610 mv:29628 misc:2082 imb:206 pmb:2861 smb:533 d:s ref:0 ;
in:136 out:138 type:b dur:2 cpbdur:2 q:28.03 aq:30.91 tex:142377 mv:20360 misc:2935 imb:95 pmb:1946 smb:1559 d:s ref:0 ;
